                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.87658,                0.52896,                 1.0265,                0.99714,                      1,                  0.995,                 0.6238,                 1.3538,                0.58994,                 1.2699,              0.0003368,              0.0003368,              0.0003368
                     86,                  0.826,                0.49171,                0.99844,                0.99715,                      1,                  0.995,                0.63189,                 1.3656,                0.59762,                 1.2765,               0.000317,               0.000317,               0.000317
                     87,                0.92996,                0.51225,                 1.0514,                0.99707,                      1,                  0.995,                0.62504,                 1.3394,                 0.5981,                 1.2385,              0.0002972,              0.0002972,              0.0002972
                     88,                0.84117,                 0.5085,                 0.9982,                0.99699,                      1,                  0.995,                0.64911,                  1.273,                 0.5669,                 1.1714,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82414,                0.51098,                0.98953,                0.99704,                      1,                  0.995,                0.65461,                 1.2363,                 0.5559,                 1.1422,              0.0002576,              0.0002576,              0.0002576
                     90,                0.88435,                0.53575,                 1.0157,                0.99707,                      1,                  0.995,                0.65413,                 1.2218,                0.55842,                 1.1344,              0.0002378,              0.0002378,              0.0002378
                     91,                0.84099,                0.52128,                0.95736,                0.99711,                      1,                  0.995,                0.65948,                 1.2201,                0.55986,                 1.1454,               0.000218,               0.000218,               0.000218
                     92,                0.77264,                0.51046,                0.93629,                 0.9972,                      1,                  0.995,                0.64436,                 1.2392,                0.56158,                 1.1875,              0.0001982,              0.0001982,              0.0001982
                     93,                0.74038,                0.48596,                0.94704,                0.99717,                      1,                  0.995,                0.64034,                 1.2586,                0.55683,                 1.2004,              0.0001784,              0.0001784,              0.0001784
                     94,                0.77898,                0.50148,                 0.9689,                0.99705,                      1,                  0.995,                0.64346,                 1.2647,                0.55753,                 1.2041,              0.0001586,              0.0001586,              0.0001586
                     95,                0.83349,                 0.5051,                0.95642,                0.99707,                      1,                  0.995,                0.64937,                 1.2649,                0.56076,                  1.199,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.7908,                0.48739,                  0.945,                0.99712,                      1,                  0.995,                0.66321,                 1.2281,                0.56043,                 1.1553,               0.000119,               0.000119,               0.000119
                     97,                0.70973,                 0.4705,                0.90268,                0.99714,                      1,                  0.995,                 0.6827,                 1.2077,                0.55196,                 1.1348,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.73689,                0.46824,                0.94419,                0.99716,                      1,                  0.995,                0.67703,                 1.2048,                0.54769,                 1.1283,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.73696,                0.47044,                0.92221,                0.99715,                      1,                  0.995,                0.67476,                 1.2066,                0.54799,                 1.1278,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.70638,                0.47725,                0.91148,                0.99712,                      1,                  0.995,                0.66955,                 1.2119,                 0.5493,                 1.1331,               3.98e-05,               3.98e-05,               3.98e-05
